x,y
0,0
0.12,0.14144961
0.24,0.261595301
0.36,0.362679008
0.48,0.446789277
0.6,0.515867542
0.72,0.571714277
0.84,0.615995033
0.96,0.650246356
1.08,0.675881591
1.2,0.694196563
1.32,0.70637515
1.44,0.713494727
1.56,0.716531501
1.68,0.716365724
1.8,0.713786795
1.92,0.709498234
2.04,0.704122551
2.16,0.698205985
2.28,0.692223139
2.4,0.686581485
2.52,0.681625758
2.64,0.677642235
2.76,0.674862892
2.88,0.673469443
3,0.673597266
3.12,0.675339208
3.24,0.678749276
3.36,0.683846205
3.48,0.690616917
3.6,0.699019853
3.72,0.708988194
3.84,0.720432964
3.96,0.733246015
4.08,0.747302892
4.2,0.762465583
4.32,0.778585155
4.44,0.795504264
4.56,0.813059557
4.68,0.831083948
4.8,0.849408787
4.92,0.867865899
5.04,0.886289515
5.16,0.904518084
5.28,0.922395964
5.4,0.939774999
5.52,0.956515979
5.64,0.972489978
5.76,0.98757958
5.88,1.001679986
6,1.0147
6.12,1.026562905
6.24,1.037207213
6.36,1.046587305
6.48,1.054673949
6.6,1.061454701
6.72,1.066934193
6.84,1.071134298
6.96,1.074094179
7.08,1.075870224
7.2,1.076535859
7.32,1.076181249
7.44,1.074912875
7.56,1.072852996
7.68,1.070139001
7.8,1.06692263
7.92,1.063369088
8.04,1.059656041
8.16,1.055972487
8.28,1.052517516
8.4,1.049498957
8.52,1.047131892
8.64,1.045637072
8.76,1.0452392
8.88,1.046165106
9,1.048641797
9.12,1.052894401
9.24,1.059143981
9.36,1.067605238
9.48,1.078484099
9.6,1.091975181
9.72,1.108259141
9.84,1.127499911
9.96,1.149841812
10.08,1.175406554
10.2,1.20429011
10.32,1.236559489
10.44,1.272249371
10.56,1.311358645
10.68,1.353846815
10.8,1.399630291
10.92,1.448578573
11.04,1.500510302
11.16,1.555189205
11.28,1.612319921
11.4,1.671543702
11.52,1.732434009
11.64,1.794491977
11.76,1.857141775
11.88,1.91972584
12,1.9815
